function_name,return_type,parameter_types
APPROXIMATE_COUNT_DISTINCT,"DECIMAL(18,0)","any except GEOMETRY"
EVERY,BOOLEAN,BOOLEAN
SOME,BOOLEAN,BOOLEAN
MIN,"same as argument",any
MAX,"same as argument",any
SUM,"numeric result type",numeric
AVG,"numeric result type",numeric
COUNT,"DECIMAL(18,0)",any
COUNT,"DECIMAL(18,0)","DISTINCT any except GEOMETRY"
COUNT,"DECIMAL(18,0)","*"
GROUP_CONCAT,"VARCHAR(max), preserving UTF-8 when any string argument is UTF-8","expression, separator, [truncation filler]"
MUL,"DOUBLE",numeric
ADD,"derived numeric/date-time type","numeric or date-time, numeric or date-time"
SUB,"derived numeric/date-time type","numeric or date-time, numeric or date-time"
DIV,"derived numeric type",numeric; numeric
MOD,"derived numeric type",numeric; numeric
IDIV,"derived numeric type",numeric; numeric
UNARY_MINUS,"derived numeric type",numeric
ROUND,"derived numeric type",numeric
ROUND,"derived numeric type",numeric; numeric
TRUNC,"derived numeric type",numeric
TRUNC,"derived numeric/date-time type","numeric or date-time; numeric"
ABS,"derived numeric type",numeric
SIGN,"SMALLINT",numeric
CEIL,"derived numeric type",numeric
FLOOR,"derived numeric type",numeric
MIN_SCALE,"SMALLINT",exact numeric
WIDTH_BUCKET,"derived DECIMAL","numeric; numeric; numeric; exact numeric"
POWER,DOUBLE,"numeric; numeric"
SQRT,DOUBLE,numeric
LOG,DOUBLE,"numeric; numeric"
ARCTAN2,DOUBLE,"numeric; numeric"
PI,DOUBLE,""
RANDOM,DOUBLE,"[numeric lower bound; numeric upper bound]"
ZEROIFNULL,"derived numeric/boolean type",numeric or boolean
NULLIFZERO,"same as argument",numeric
LEAST,"common numeric/string/date-time type","one or more compatible arguments"
GREATEST,"common numeric/string/date-time type","one or more compatible arguments"
BIT_AND,"bit-function numeric type","bit-function numeric; bit-function numeric"
BIT_OR,"bit-function numeric type","bit-function numeric; bit-function numeric"
BIT_XOR,"bit-function numeric type","bit-function numeric; bit-function numeric"
BIT_NOT,"bit-function numeric type",bit-function numeric
BIT_LSHIFT,"bit-function numeric type","bit-function numeric; shift numeric"
BIT_RSHIFT,"bit-function numeric type","bit-function numeric; shift numeric"
BIT_LROTATE,"bit-function numeric type","bit-function numeric; shift numeric"
BIT_RROTATE,"bit-function numeric type","bit-function numeric; shift numeric"
BIT_SET,"bit-function numeric type","bit-function numeric; shift numeric"
BIT_CHECK,BOOLEAN,"bit-function numeric; shift numeric"
BIT_TO_NUM,"DECIMAL(20,0)","one or more castable numeric arguments"
HASH_SHA512,"CHAR(128) or HASHTYPE(64)",any
HASH_SHA256,"CHAR(64) or HASHTYPE(32)",any
HASH_SHA1,"CHAR(40) or HASHTYPE(20)",any
HASH_TIGER,"CHAR(48) or HASHTYPE(24)",any
HASH_MD5,"CHAR(32) or HASHTYPE(16)",any
CRYPTO_HASH,"CHAR(CRYPTOHASHSIZE)",any
YEAR,"derived exact numeric",timestamp
MONTH,"derived exact numeric",timestamp
DAY,"derived exact numeric",timestamp
HOUR,"derived exact numeric",timestamp
MINUTE,"derived exact numeric",timestamp
